Fecha,Ventas
2022-10-19,123.0
2022-10-20,74.26
2022-10-22,263.29
2022-10-23,220.01
2022-10-24,143.52
2022-10-25,230.21
2022-10-26,205.55
2022-10-27,202.21
2022-10-28,243.25
2022-10-29,389.59
2022-10-30,355.03
2022-10-31,100.85
2022-11-01,244.36
2022-11-02,178.0
2022-11-03,80.92
2022-11-04,273.03
2022-11-05,248.5
2022-11-06,292.0
2022-11-11,138.19
2022-11-12,243.26
2022-11-13,486.01
2022-11-15,98.95
2022-11-16,108.54
2022-11-17,162.81
2022-11-18,201.22
2022-11-19,150.74
2022-11-20,359.96
2022-11-22,61.21
2022-11-23,104.34
2022-11-24,134.83
2022-11-25,91.94
2022-11-26,358.35
2022-11-27,353.34
2022-11-28,41.41
2022-11-29,67.21
2022-11-30,96.11
2022-12-01,116.32
2022-12-02,43.18
2022-12-07,113.56
2022-12-08,102.13
2022-12-09,102.71
2022-12-10,117.98
2022-12-11,127.42
2022-12-13,122.75
2022-12-14,148.48
2022-12-15,50.1
2022-12-16,114.79
2022-12-17,155.85
2022-12-18,220.74
2022-12-20,72.73
2022-12-21,157.05
2022-12-23,244.54
2022-12-24,383.14
2022-12-26,115.12
2022-12-27,82.43
2022-12-28,175.41
2022-12-29,82.47
2022-12-31,293.06
2023-01-06,104.55
2023-01-07,105.1
2023-01-08,159.11
2023-02-01,51.45
2023-02-02,101.45
2023-02-03,85.83
2023-02-05,472.33
2023-02-06,155.52
2023-02-07,89.35
2023-02-08,121.11
2023-02-09,100.66
2023-02-10,278.08
2023-02-11,267.65
2023-02-12,305.5
2023-02-14,127.19
2023-02-15,178.45
2023-02-16,174.38
2023-02-17,274.15
2023-02-18,241.79
2023-02-19,616.71
2023-02-20,105.6
2023-02-21,210.31
2023-02-22,85.97
2023-02-23,180.68
2023-02-24,119.86
2023-02-25,184.67
2023-02-26,499.63
2023-02-27,112.35
2023-02-28,70.91
2023-03-01,86.6
2023-03-06,88.86
2023-03-07,137.81
2023-03-08,114.35
2023-03-09,158.1
2023-03-10,400.76
2023-03-11,657.3
2023-03-12,972.3
2023-03-14,216.72
2023-03-15,245.43
2023-03-16,297.34
2023-03-17,259.13
2023-03-18,372.27
2023-03-19,784.1
2023-03-20,530.98
2023-03-21,283.22
2023-03-22,301.21
2023-03-23,327.48
2023-03-24,387.5
2023-03-25,659.67
2023-03-26,1083.77
2023-03-29,541.76
2023-03-30,418.5
2023-03-31,319.79
2023-04-01,541.51
2023-04-02,929.07
2023-04-04,419.61
2023-04-05,381.0
2023-04-06,412.55
2023-04-07,559.81
2023-04-08,503.38
2023-04-09,913.64
2023-04-11,280.65
2023-04-12,232.8
2023-04-13,234.45
2023-04-14,313.95
2023-04-15,912.85
2023-04-16,1329.75
2023-04-18,477.25
2023-04-19,382.6
2023-04-20,553.0
2023-04-21,637.35
2023-04-22,1017.5
2023-04-23,1417.55
2023-04-25,518.8
2023-04-26,367.3
2023-04-27,729.25
2023-04-28,879.95
2023-04-29,735.4
2023-04-30,854.35
2023-05-03,483.1
2023-05-04,358.25
2023-05-05,793.1
2023-05-06,1143.35
2023-05-07,1884.6
2023-05-09,462.6
2023-05-10,486.3
2023-05-11,484.3
2023-05-12,365.25
2023-05-13,866.0
2023-05-14,899.75
2023-05-16,287.8
2023-05-17,352.8
2023-05-18,432.8
2023-05-19,473.35
2023-05-20,909.4
2023-05-21,782.75
2023-05-23,193.25
2023-05-24,303.9
2023-05-25,333.85
2023-05-26,328.9
2023-05-27,660.25
2023-05-28,599.9
2023-05-30,252.85
2023-05-31,384.75
2023-06-01,366.5
2023-06-02,513.8
2023-06-03,1027.4
2023-06-04,1244.25
2023-06-06,603.9
2023-06-07,200.7
2023-06-08,267.6
2023-06-09,809.2
2023-06-10,992.65
2023-06-11,1301.65
2023-06-13,511.5
2023-06-14,647.8
2023-06-15,621.85
2023-06-16,1040.0
2023-06-17,881.65
2023-06-18,925.2
2023-06-20,493.5
2023-06-21,576.05
2023-06-22,973.65
2023-06-23,981.2
2023-06-24,1280.8
2023-06-25,1141.35
2023-06-27,698.3
2023-06-28,635.05
2023-06-29,528.05
2023-06-30,743.3
2023-07-01,926.35
2023-07-02,1094.9
2023-07-04,622.45
2023-07-05,574.9
2023-07-06,572.1
2023-07-07,743.35
2023-07-08,801.25
2023-07-09,944.25
2023-07-11,693.8
2023-07-12,738.35
2023-07-13,442.0
2023-07-14,708.05
2023-07-15,906.95
2023-07-16,960.65
2023-07-18,365.85
2023-07-19,524.4
2023-07-20,509.5
2023-07-21,689.3
2023-07-22,724.2
2023-07-23,1123.8
2023-07-25,465.05
2023-07-26,547.85
2023-07-27,551.3
2023-07-28,702.0
2023-07-29,444.05
2023-07-30,701.75
2023-08-01,430.0
2023-08-02,512.05
2023-08-03,379.4
2023-08-04,556.3
2023-08-05,524.45
2023-08-06,540.15
2023-08-08,408.7
2023-08-09,377.35
2023-08-10,323.25
2023-08-11,405.0
2023-08-12,491.45
2023-08-13,451.85
2023-08-18,444.1
2023-08-19,449.1
2023-08-20,338.45
2023-08-22,386.7
2023-08-23,342.95
2023-08-24,347.5
2023-08-25,534.25
2023-08-26,567.85
2023-08-27,712.95
2023-08-29,337.3
2023-08-30,468.05
2023-08-31,450.75
2023-09-01,466.45
2023-09-02,331.15
2023-09-05,557.7
2023-09-06,513.35
2023-09-07,502.5
2023-09-08,677.5
2023-09-09,583.9
2023-09-10,800.7
2023-09-12,377.05
2023-09-13,449.0
2023-09-14,438.05
2023-09-15,722.95
2023-09-16,359.15
2023-09-17,276.4
2023-09-19,370.7
2023-09-20,292.35
2023-09-22,421.9
2023-09-23,691.7
2023-09-24,904.85
2023-09-25,329.25
2023-09-26,355.0
2023-09-27,450.85
2023-09-28,387.3
2023-09-29,601.9
2023-09-30,821.1
2023-10-01,1001.15
2023-10-03,360.45
2023-10-04,486.25
2023-10-05,412.75
2023-10-07,532.4
2023-10-08,968.15
2023-10-09,255.45
2023-10-10,212.2
2023-10-11,341.3
2023-10-12,715.15
2023-10-13,307.83
2023-10-14,393.72
2023-10-15,596.17
2023-10-17,194.87
2023-10-18,123.89
2023-10-19,86.09
2023-10-20,184.72
2023-10-21,244.51
2023-10-22,272.73
2023-10-23,118.57
2023-10-25,209.3
2023-10-26,148.44
2023-10-27,166.69
2023-10-28,161.96
2023-10-29,239.52
2023-11-02,186.19
2023-11-03,143.82
2023-11-04,203.71
2023-11-05,300.57
2023-11-07,147.33
2023-11-08,123.64
2023-11-09,290.75
2023-11-10,199.27
2023-11-11,245.46
2023-11-12,525.7
2023-11-14,130.5
2023-11-15,100.0
2023-11-16,131.16
2023-11-17,220.5
2023-11-18,292.46
2023-11-19,271.52
2023-11-21,115.19
2023-11-22,144.0
2023-11-23,120.74
2023-11-24,127.52
2023-11-25,230.01
2023-11-26,170.22
2023-11-28,135.03
2023-11-29,119.93
2023-11-30,139.98
2023-12-01,214.99
2023-12-02,194.62
2023-12-03,174.55
2023-12-05,140.26
2023-12-06,169.26
2023-12-07,138.82
2023-12-08,90.59
2023-12-09,31.66
2023-12-10,90.95
2023-12-11,62.67
2023-12-12,125.83
2023-12-13,73.83
2023-12-14,145.8
2023-12-15,130.36
2023-12-16,178.28
2023-12-17,178.28
2023-12-19,146.79
2023-12-20,140.79
2023-12-21,205.91
2023-12-22,244.42
2023-12-23,192.41
2023-12-24,216.89
2023-12-25,226.89
2023-12-26,104.95
2023-12-27,91.64
2023-12-28,154.51
2024-01-03,120.0
2024-01-04,41.9
2024-01-05,122.84
2024-01-06,160.85
2024-01-07,129.62
2024-01-08,96.5
2024-01-09,45.6
2024-01-10,55.2
2024-02-01,181.8
2024-02-02,223.77
2024-02-03,314.13
2024-02-04,638.75
2024-02-05,82.57
2024-02-06,94.18
2024-02-07,93.42
2024-02-08,115.8
2024-02-09,152.05
2024-02-10,225.52
2024-02-11,194.13
2024-02-13,94.95
2024-02-14,91.84
2024-02-15,124.59
2024-02-16,148.1
2024-02-17,716.57
2024-02-18,742.36
2024-02-20,248.57
2024-02-21,260.76
2024-02-22,146.5
2024-02-23,140.56
2024-02-24,224.67
2024-02-25,158.35
2024-02-27,97.55
2024-02-28,149.57
2024-02-29,150.41
2024-03-01,165.31
2024-03-03,256.51
2024-03-05,163.61
2024-03-06,190.37
2024-03-07,107.05
2024-03-08,109.43
2024-03-09,182.34
2024-03-10,307.4
2024-03-12,207.57
2024-03-13,226.06
2024-03-14,141.1
2024-03-15,200.9
2024-03-16,524.67
2024-03-17,704.57
2024-03-19,350.29
2024-03-20,287.97
2024-03-21,554.39
2024-03-22,625.2
2024-03-23,715.34
2024-03-24,672.61
2024-03-26,143.92
2024-03-27,108.12
2024-03-28,40.48
2024-03-30,8.2
2024-04-01,113.59
2024-04-02,149.3
2024-04-03,198.94
2024-04-04,329.11
2024-04-05,816.0
2024-04-06,763.55
2024-04-07,1139.5
2024-04-09,396.12
2024-04-10,411.5
2024-04-11,651.8
2024-04-12,1037.25
2024-04-13,1320.8
2024-04-14,1535.3
2024-04-16,463.65
2024-04-17,502.45
2024-04-18,554.75
2024-04-19,862.25
2024-04-20,1135.4
2024-04-21,1231.35
2024-04-23,249.8
2024-04-24,313.9
