Grupo;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
22/09/2021;39;188,14;19,26;207,4;4,57;183,57
23/09/2021;53;221,59;22,41;244;2,06;219,53
24/09/2021;59;333,64;34,51;368,15;5,85;327,79
25/09/2021;68;415,96;43,24;459,2;10,06;405,9
26/09/2021;109;697,38;71,42;768,8;9,99;687,39
27/09/2021;45;197,9;21,1;219;6,72;191,18
28/09/2021;45;185,2;19,45;204,65;4,86;180,34
29/09/2021;44;208,37;21,33;229,7;6,61;201,76
30/09/2021;64;323,41;33,29;356,7;5,1;318,31
01/10/2021;87;513,44;52,66;566,1;8,92;504,52
02/10/2021;71;426,98;43,42;470,4;8,55;418,43
03/10/2021;8;66,64;6,66;73,3;1,33;65,31
04/10/2021;29;127,05;12,7;139,75;4,41;122,64
05/10/2021;31;141,83;14,47;156,3;8,06;133,77
06/10/2021;46;222,97;25,03;248;11,12;211,85
07/10/2021;52;211,75;22,5;234,25;12,28;199,47
08/10/2021;86;482,53;50,06;532,59;35,49;447,04
09/10/2021;89;574,85;60,15;634,99;37,75;537,1
10/10/2021;93;576,62;60,33;636,95;31,6;545,02
11/10/2021;37;222,11;22,54;244,65;6,57;215,54
12/10/2021;100;682,63;74;756,63;46,12;636,51
13/10/2021;47;208,3;21,09;229,39;3,62;204,68
14/10/2021;62;294,17;31,32;325,49;22,94;271,23
15/10/2021;88;483,29;49,17;532,47;40,21;443,08
16/10/2021;53;315,53;32,63;348,17;31,45;284,08
17/10/2021;90;605,63;66,77;672,4;54,79;550,84
19/10/2021;47;172,7;17,5;190,2;7,38;165,32
20/10/2021;51;254,98;26,71;281,69;23,6;231,38
21/10/2021;42;170,48;17,56;188,04;10,26;160,22
22/10/2021;49;265,12;28,06;293,17;22,01;243,11
23/10/2021;77;402,95;45,7;448,65;30,97;371,98
24/10/2021;79;423,04;44,71;467,75;31,19;391,85
25/10/2021;16;81,13;7,88;89,01;0,98;80,15
26/10/2021;51;185,85;19,22;205,07;11,95;173,9
27/10/2021;57;219,19;22,21;241,39;19,68;199,51
28/10/2021;51;225,21;23,54;248,75;14,92;210,29
29/10/2021;28;81,1;8,67;89,77;11,61;69,49
30/10/2021;27;106,27;10,88;117,15;8,22;98,05
31/10/2021;30;206,45;20,9;227,35;7,18;199,27
01/11/2021;55;284,17;30,62;314,8;28,8;255,37
03/11/2021;23;71,43;7,61;79,04;9,08;62,35
04/11/2021;27;106,27;11,14;117,4;11,41;94,86
05/11/2021;28;97,16;9,72;106,88;19,72;77,44
06/11/2021;47;319,87;32,93;352,8;18,94;300,93
07/11/2021;40;228,07;22,81;250,88;10,95;217,12
10/11/2021;25;99,46;10,2;109,66;8,87;90,59
11/11/2021;35;132,95;14;146,96;11,19;121,76
12/11/2021;31;153,32;16,25;169,57;11,88;141,44
13/11/2021;46;291,08;30,38;321,47;24,3;266,78
14/11/2021;71;438,36;44,55;482,92;32,31;406,05
16/11/2021;27;97,79;10,5;108,29;10,69;87,1
17/11/2021;26;105,56;10,1;115,66;13,41;92,15
18/11/2021;34;128,1;12,85;140,95;18,4;109,7
19/11/2021;31;119,29;11,69;130,98;6,22;113,07
20/11/2021;25;121,59;11,68;133,27;13,28;108,31
21/11/2021;30;169,51;17,87;187,38;14,06;155,45
