,Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento
226,2023-09-15,20.5,0.68,73.0,182.0,1.6
227,2023-09-16,18.8,0.0,79.0,119.0,1.3
228,2023-09-17,17.0,0.33,85.0,105.0,1.7
229,2023-09-18,16.9,0.0,80.0,121.0,1.3
230,2023-09-19,18.1,0.0,71.0,213.0,0.8
231,2023-09-20,17.9,0.0,65.0,231.0,1.9
232,2023-09-21,15.7,0.02,75.0,102.0,2.6
233,2023-09-22,15.8,0.0,54.0,223.0,1.4
234,2023-09-23,15.9,0.0,59.0,234.0,0.8
235,2023-09-24,18.0,0.0,58.0,232.0,0.7
236,2023-09-25,19.6,0.0,54.0,230.0,0.7
237,2023-09-26,20.0,0.0,57.0,217.0,0.7
238,2023-09-27,20.2,0.0,62.0,211.0,0.9
239,2023-09-28,20.6,0.0,63.0,215.0,1.0
240,2023-09-29,22.2,0.0,56.0,217.0,0.8
241,2023-09-30,22.7,0.0,56.0,212.0,0.7
242,2023-10-01,22.6,0.0,56.0,214.0,0.7
243,2023-10-02,21.8,0.0,51.0,208.0,0.7
244,2023-10-03,21.2,0.0,56.0,189.0,0.8
245,2023-10-04,21.7,0.0,60.0,196.0,0.8
246,2023-10-05,21.9,0.0,60.0,195.0,0.7
247,2023-10-06,22.4,0.0,50.0,198.0,0.7
248,2023-10-07,21.7,0.0,47.0,195.0,0.5
249,2023-10-08,21.0,0.0,50.0,191.0,0.5
250,2023-10-09,21.1,0.0,49.0,182.0,0.6
251,2023-10-10,19.8,0.0,54.0,186.0,0.6
252,2023-10-11,19.1,0.0,55.0,192.0,0.6
253,2023-10-12,18.9,0.0,52.0,182.0,0.7
254,2023-10-13,19.3,0.0,50.0,144.0,0.9
255,2023-10-14,17.8,0.04,76.0,132.0,0.7
256,2023-10-15,16.3,0.03,81.0,128.0,0.7
257,2023-10-16,16.9,0.0,80.0,121.0,1.2
258,2023-10-17,18.8,0.01,72.0,96.0,2.4
259,2023-10-18,16.8,0.04,84.0,125.0,3.4
260,2023-10-19,13.6,1.93,97.0,13.0,2.2
261,2023-10-20,12.0,0.01,81.0,133.0,2.8
262,2023-10-21,11.5,0.0,68.0,177.0,1.2
263,2023-10-22,11.5,0.55,80.0,92.0,1.2
264,2023-10-23,11.7,0.16,91.0,93.0,1.7
265,2023-10-24,10.6,0.03,90.0,113.0,2.4
266,2023-10-25,13.9,0.0,91.0,114.0,2.9
267,2023-10-26,15.1,0.07,90.0,64.0,3.3
268,2023-10-27,11.7,0.0,88.0,128.0,2.6
269,2023-10-28,13.4,0.0,84.0,105.0,3.0
270,2023-10-29,14.0,0.06,85.0,37.0,2.3
271,2023-10-30,11.9,0.1,84.0,131.0,1.9
272,2023-10-31,9.3,0.0,87.0,81.0,0.6
273,2023-11-01,11.1,0.0,96.0,46.0,2.6
274,2023-11-02,11.8,0.24,82.0,83.0,4.0
275,2023-11-03,9.2,0.0,85.0,81.0,2.8
276,2023-11-04,11.1,0.03,92.0,44.0,3.8
277,2023-11-05,10.1,0.0,81.0,132.0,2.7
278,2023-11-06,8.5,0.0,76.0,131.0,1.1
279,2023-11-07,6.9,0.0,82.0,91.0,1.1
280,2023-11-08,8.0,0.0,88.0,91.0,1.0
281,2023-11-09,11.6,0.01,80.0,135.0,2.0
282,2023-11-10,11.3,0.02,76.0,128.0,1.6
283,2023-11-11,13.9,0.0,92.0,114.0,3.5
284,2023-11-12,14.7,0.0,87.0,123.0,2.2
285,2023-11-13,15.3,0.0,88.0,75.0,1.2
286,2023-11-14,12.5,0.0,92.0,74.0,0.6
287,2023-11-15,12.3,0.0,91.0,74.0,0.6
288,2023-11-16,12.3,0.0,95.0,61.0,0.6
289,2023-11-17,13.4,0.0,90.0,102.0,0.6
290,2023-11-18,12.1,0.0,83.0,118.0,0.5
291,2023-11-19,11.9,0.0,81.0,117.0,0.5
292,2023-11-20,11.5,0.0,80.0,113.0,0.7
293,2023-11-21,9.3,0.0,69.0,114.0,0.8
294,2023-11-22,6.9,0.0,71.0,47.0,0.8
295,2023-11-23,10.982142857142858,0.03214285714285715,84.53571428571429,91.82142857142857,1.5642857142857143
296,2023-11-24,10.982142857142858,0.03214285714285715,84.53571428571429,91.82142857142857,1.5642857142857143
297,2023-11-25,12.8,0.0,59.0,167.0,0.7
298,2023-11-26,8.2,0.0,76.0,98.0,0.6
299,2023-11-27,7.1,0.0,92.0,70.0,0.8
300,2023-11-28,9.0,0.0,95.0,44.0,1.1
301,2023-11-29,12.0,0.0,92.0,58.0,2.4
302,2023-11-30,12.7,0.6,96.0,40.0,2.9
303,2023-12-01,8.1,0.54,66.0,94.0,1.5
