,Fecha,Ventas
571,2022-10-27,202.21
572,2022-10-28,243.25
573,2022-10-29,389.59
574,2022-10-30,355.03
575,2022-10-31,100.85
576,2022-11-01,244.36
577,2022-11-02,178.0
578,2022-11-03,80.92
579,2022-11-04,273.03
580,2022-11-05,248.5
581,2022-11-06,292.0
582,2022-11-11,138.19
583,2022-11-12,243.26
584,2022-11-13,486.01
585,2022-11-15,98.95
586,2022-11-16,108.54
587,2022-11-17,162.81
588,2022-11-18,201.22
589,2022-11-19,150.74
590,2022-11-20,359.96
591,2022-11-22,61.21
592,2022-11-23,104.34
593,2022-11-24,134.83
594,2022-11-25,91.94
595,2022-11-26,358.35
596,2022-11-27,353.34
597,2022-11-28,41.41
598,2022-11-29,67.21
599,2022-11-30,96.11
600,2022-12-01,116.32
601,2022-12-02,43.18
602,2022-12-07,113.56
603,2022-12-08,102.13
604,2022-12-09,102.71
605,2022-12-10,117.98
606,2022-12-11,127.42
607,2022-12-13,122.75
608,2022-12-14,148.48
609,2022-12-15,50.1
610,2022-12-16,114.79
611,2022-12-17,155.85
612,2022-12-18,220.74
613,2022-12-20,72.73
614,2022-12-21,157.05
615,2022-12-23,244.54
616,2022-12-24,383.14
617,2022-12-26,115.12
618,2022-12-27,82.43
619,2022-12-28,175.41
620,2022-12-29,82.47
621,2022-12-31,293.06
622,2023-01-06,104.55
623,2023-01-07,105.1
624,2023-01-08,159.11
625,2023-02-01,51.45
626,2023-02-02,101.45
627,2023-02-03,85.83
628,2023-02-05,472.33
629,2023-02-06,155.52
630,2023-02-07,89.35
631,2023-02-08,121.11
632,2023-02-09,100.66
633,2023-02-10,278.08
634,2023-02-11,267.65
635,2023-02-12,305.5
636,2023-02-14,127.19
637,2023-02-15,178.45
638,2023-02-16,174.38
639,2023-02-17,274.15
640,2023-02-18,241.79
641,2023-02-19,616.71
642,2023-02-20,105.6
643,2023-02-21,210.31
644,2023-02-22,85.97
645,2023-02-23,180.68
646,2023-02-24,119.86
647,2023-02-25,184.67
648,2023-02-26,499.63
649,2023-02-27,112.35
650,2023-02-28,70.91
651,2023-03-01,86.6
652,2023-03-06,88.86
653,2023-03-07,137.81
654,2023-03-08,114.35
655,2023-03-09,158.1
656,2023-03-10,400.76
657,2023-03-11,657.3
658,2023-03-12,972.3
659,2023-03-14,216.72
660,2023-03-15,245.43
661,2023-03-16,297.34
662,2023-03-17,259.13
663,2023-03-18,372.27
664,2023-03-19,784.1
665,2023-03-20,530.98
666,2023-03-21,283.22
667,2023-03-22,301.21
668,2023-03-23,327.48
669,2023-03-24,387.5
670,2023-03-25,659.67
671,2023-03-26,1083.77
672,2023-03-29,541.76
673,2023-03-30,418.5
674,2023-03-31,319.79
675,2023-04-01,541.51
676,2023-04-02,929.07
677,2023-04-04,419.61
678,2023-04-05,381.0
679,2023-04-06,412.55
